,speech,Topic,Name,Representation,Top_n_words,Probability,Representative_document,speech_id
72503,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.207399752,TRUE,1060203348
73125,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.642347964,TRUE,1060115466
73638,"Mr. Chairman. I would like to take this opportunity to thank Chairman PACKARD and the Ranking Member. Mr. VISCLOSKY. and the Members of the Committee. for their support of Sacramento flood control projects included in the FY 2001 Energy and Water Appropriations bill. Flooding remains the single greatest threat to the public safety of the Sacramento community. posing a constant risk to the lives of my constituents and to the regional economy. Thanks to your efforts and the efforts of this Committee. Sacramento can continue to work toward improved flood protection. With a mere 85year level of protection. Sacramento remains the metropolitan area in this nation most at risk to flooding. More than 400.000 people and $37 billion in property reside within the Sacramento flood plain. posing catastrophic consequences in the event of a flood. While Congress will continue to consider the best longterm solution to this threat. funding in this bill will provide much needed improvements to the existing flood control facilities throughout the region. Specifically. this legislation will allow for the continuation of levee improvements and bank stabilization projects along the lower American and Sacramento Rivers. increasing levee reliability and stemming bank erosion. Additionally. I greatly appreciate the Committees willingness to provide funding for projectsincluding the Strong Ranch and Chicken Ranch Sloughs. and Magpie Creekaimed at preventing flooding from a series of smaller rivers and streams that present substantial threats separate from those posed by the major rivers in the region. Importantly. the Committees willingness to include funding for the American River Comprehensive Plan will allow for ongoing Corps of Engineers general investigation work on all area flood control needs. including a permanent longterm solution. - As this legislation moves to a House and Senate conference committee. I also would like to ask conferees to support two ""new start"" projects of critical importance to tlie longterm safety of the Sacramento region that were included in the 1999 Water Resources Development Act. The first would make modifications to the outlet works on Folsom Dam. improving its flood control efficiency. The second would begin construction on the South Sacramento Streams. which will provide a 500year level of protection for a portion of south Sacramento that has long been vulnerable to rising flood waters.",3184,3184_sacramento_flood_levee_levees,"['sacramento', 'flood', 'levee', 'levees', 'flooding', 'natomas', 'dam', 'hmgp', 'engineers', 'folsom']",sacramento - flood - levee - levees - flooding - natomas - dam - hmgp - engineers - folsom,0.880939587,TRUE,1060162326
75060,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.665796626,TRUE,1060174842
78422,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.549375778,TRUE,1060140361
79911,Madam President. I am pleased that the Senate is poised to pass the Water Resources Development Act of 2000 (WRDA). This legislation includes critical -provisions to restore the Florida Everglades and the Missouri River in South Dakota and I am hopeful that it will be enacted this year. Among the provisions of WRDA that will most benefit South Dakota is a section incorporating elements of S. 2291. the Missouri River Restoration Act. I introduced this legislation last May to address the siltation of the Missouri River in South Dakota and the threat to Indian cultural and historic sites that border the river. The WRDA bill under consideration today takes an important first step to address these problems. and I want to thank all of my colleagues for their help to secure the passage of this legislation. In particular. Senator JOHNSON. Senator BAUCUS. Senator SMITH of New Hampshire and Senator VOINOVICH deserve praise for their efforts to incorporate this legislation into the larger bill. It is my hope that Congress will adopt the remaining elements of my comprehensive proposal to restore the Missouri River. including the creation of a Missouri River Trust Fund. in the foreseeable future. The need for this legislation stems from the construction of a series of federal dams along the Missouri River in the 1950s and 1960s that forever changed its flow. For decades. these dams have provided affordable electricity for millions of Americans and prevented billions of dollars of damage to downstream states by preventing flooding. They have also created an economically important recreation industry in South Dakota. However. one of the consequences of the dams is that they have virtually eliminated the ability of the Missouri River to carry sediment downstream. Before the dams. the Missouri was known as the Big Muddy because of the heavy sediment load it carried. Today. that sediment is deposited on the river bottom in South Dakota. and significant buildups have occurred where tributaries like the Bad River. White River and Niobrara River empty into the Missouri. The Bad River. for example. deposits millions of tons of silt into the Missouri River each year. This sediment builds up near the cities of Pierre and Ft. Pierre. where it has raised the local water table and flooded area homes. Already. Congress has had to authorize a. $35 million project to relocate hundreds of families. To prevent more serious flooding. the Corps has had to lower releases from the Oahe dam. causing a $12 million annual loss due to restricted power generation. Farther south. near the city of Springfield. sediment from the Niobrara River clogs the Missouris channel for miles. Boats that used to sail from Yankton to Springfield can no longer navigate the channel. eroding the areas economy. This problem will only grow worse. According to the Corps of Engineers. in less than 75 years Lewis and Clark lake will fill entirely with sediment. ending the ability of that reservoir to provide flood control and seriously threatening the economies of cities like Yankton and Vermillion. In addition to the impact of sediment on flood control. over 3000 cultural and historic sites important to Indian tribes. including burial grounds. campsites. and ancient villages. are found along the Missouri River in the Dakotas. Many of these sites are threatened by erosion. and each year some of them are irretrievably lost as they tumble into the river. Critical points of the Lewis and Clark trail also follow the Missouri through South Dakota. and they are threatened by erosion as well. The elements of the Missouri River Restoration Act included in WRDA today address these problems by establishing a Missouri River Task Force composed of federal officials. representatives of the State of South Dakota and area Indian tribes. It will be responsible for developing and implementing a Missouri River Restoration Program to reduce sedimentation and protect cultural and historic sites along the river. I would like to take a few minutes to explain in detail how this process will work First. the bill establishes a 25member Missouri River Trust. Appointments will be made to the Trust by the Secretary of the Army. These appointments must be in accordance with the recommendations of the Governor of South Dakota and area Indian tribes to ensure that there is a strong local voice on the Trust. Second. the bill establishes a Missouri River Task Force. chaired by the Secretary of the Army and including representatives of the Department of Interior. Department of Energy and Department of Agriculture. It also includes the Missouri River Trust. Once funding for this legislation becomes available. the U.S. Army Corps of Engineers will prepare an assessment of the Missouri River watershed in South Dakota that reviews the impact of siltation on the river. including its impact on a variety of issues: the Federal. State and regional economies. recreation. hydropower. fish and wildlife. and flood control. Based upon this assessment and other pertinent information. the Task Force will develop a plan to improve conservation in the Missouri River watershed. control and remove sediment from the Missouri River. protect recreation on the Missouri from sedimentation. protect Indian and nonIndian cultural and historic sites from erosion. and improve erosion control along the river. Once this plan is approved by the Task Force. the Task Force will review proposals from local. state. federal and other entities to meet the goals of the plan and recommend to the Secretary of the Army which of these proposals to carry out. It is the intention of this legislation that the Corps contract with. or provide grants to. other agencies and local entities to carry out these projects. To the extent possible. the Secretary should ensure that approximately 30 percent of the funds used to carry out these projects are spent on projects within Indian reservations or administered by Indian tribes. The bill authorizes a total of $4 million per year for the next 10 years to carry out these goals. While the Task Force will have the flexibility it needs to take appropriate actions to restore the Missouri River. it is my expectation that a significant effort will be made to improve conservation in the Missouri River watershed. Pilot projects have shown already that the amount of sediment flowing into the Missouris tributaries can be reduced by as much as 50 percent with appropriate conservation practices. If requested. the Task Force will also have the authority to work with farmers across the river in Nebraska. for example. to reduce the amount of sediment flowing in from the Niobrara River. The conceptual underpinnings of this legislation were developed through numerous public discussions that I have held. in South Dakota over the last year. Last January. I held a Missouri River Summit in the town of Springfield with Governor Janklow. Lower Brule Sioux Tribe Chairman Mike Jandreau. and other experts to discuss how to address these critical problems. In April. Governor Janklow and I held a hearing in Pierre to gather public comment about proposals to restore the river. I have been pleased by the outpouring of support I have seen for efforts to restore the river. Dozens of communities such as Yankton. Chamberlain. Springfield. Wagner. Pickstown. Mitchell and others have passed resolutions in support river restoration. American Rivers. a national leader in river protection. has recognized this need as well. The legislation passed today takes the first important step we need to take to get this job done. Id like to thank all those in South Dakota who contributed to this process. and my colleagues in the Senate for all of their support. I look forward to our continued work together. Finally. the WRDA bill includes an amendment to the Cheyenne River Sioux Tribe. Lower Brule Sioux Tribe. and State of South Dakota Terrestrial Wildlife Habitat Restoration Act. This amendment requires the Corps of Engineers to meet its legal responsibilities to identify and stabilize Indian cultural sites. clean up open dumps. and mitigate wildlife habitat along the river. It also makes important technical changes to that law that will help ensure its smooth implementation. It is my hope that the Corps of Engineers will respond by working closely with the tribes and the state to clean up those lands. stabilize Indian cultural sites. and transfer the lands along the river to the tribes and state in a timely manner. .,672,672_river_dams_dam_missouri,"['river', 'dams', 'dam', 'missouri', 'downstream', 'fish', 'flood', 'spring', 'barge', 'wildlife']",river - dams - dam - missouri - downstream - fish - flood - spring - barge - wildlife,1,TRUE,1060187305
79913,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.720955717,TRUE,1060198661
80465,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.309125352,TRUE,1060183015
82360,"Mr. President. I rise today to talk about a matter that has impacted every inhabitant of the state of Montana: The wildfires of the past 2 months. The recent rain and snow have finally brought the fires in Montana under control. but many of the largest fires are still smoldering. The Helena Independent Record Recently described the summer of 2000 as a: Fire season marked by miracles and loss. heroism and heartache. smoky skies and blackened backyards. of evacuations. waiting. planning and prayer. . This photo showing two elk trying to escape the flames was taken on August 6th in the Bitterroot Valley by Forest Service firefighter John McColgan. On this particular day several forest fires converged near Sula. burning over 100.000 acres and destroying 10 homes. And this fire was just one of dozens burning across Montana. Mr. President. it is not an exaggeration to say that these fires impacted every inhabitant of Montana. Even people in our cities. miles from the front lines. lived with a constant reminder of the conflagration burning about them.As you can see in this photo of Helena. cities all across the region spent - weeks under a cloud of smoke. Clearly. it was one of the worst fire seasons weve seen in the last 100 years. This is our cathedral. Saint Helenas Cathedral. You can see big smoke columns rising. The fact is. this is dramatically an understatement. I have asked my office to see if there are other photos which more accurately describe the situation in my State. and this is all we could come up with at the time. But this town. Helena. I might say. was so covered with smoke that my houseup just about 500. 600 feet from hereas I was looking across the back alley through the kitchen window. I could not even see across the alley. The whole city was just covered all the way down to ground level with smoke. That was the rule. That was the rule for all Montana cities. with the exception maybe of some of the eastern Montana cities. Most of them had just dense smoke impact for a long time. Clearly one of the worst fire seasons we have seen in over 100 years. But. Mr. President. I didnt cometo. the floor to talk about how bad the fires werethats already apparent. Nor did I come down here to talk about forest management policy and what we could have done to lessen the harmful impact of these firesthere will be plenty of time to address both topics in the weeks and months to come. Mr. President. I am here today to commend the efforts of the thousands of people who pulled together to do battle with one of Mother Natures most unforgiving forces.From New Zealands finest. most experienced firefighters to the Montana volunteers who ranRed Cross evacuee camps. the fires brought together some of the most courageous and hardworking individuals I have ever encountered. Someone once told me that the true character of any community will reveal itself in the face of a natural disaster. I am proud of how Montanans and all of those who came to help rose to this challenge and persevered. Of all the statistics--almost a million acres burned. over 300 structures lost. over $200 million spent in battling firesthe one statistic I am most proud of is the number of human casualtieszero. Thats right. in Montana not one life was lost during this disaster and no one was seriously injured. I cant tell -you how proud I am that safety remained the highest priority: of all of the firefighters who were in harms way. the pilots who flew risky missions dumping water or retardant chemicals over the fiery landscape. and the thousands of people who were evacuatedno one was seriously injured. To me. thats one heck of a statistic. Thats why today. Mr. President. I want to extend a heartfelt ""thank you."" and I know I speak for. every Montanan. I want to thank firefighters from across the country. and around the world. Volunteer firefighters who left their regular jobs. The employees who let them go. Students who postponed attending classes. The families left at home and the coworkers who put in overtime to cover for those who traveled to the west. I might say in this photo. in the center is James Lee Witt. flanked by two members of the Montana delegation. myself on the left. and Senator BURNS on the right. We are talking to a volunteer firefighter. These are people who. when the fire comes. often are in an area next to a communitythere are homes back in the woods and the volunteer fighters immediately rush out. They are the first ones there. They are there without any pay. It is their community and they are fighting their hearts out. They are bleeding. almost literallydoing all they can to prevent that structure from burning. to do all they can to force the fire back. They are not paid. It is without compensation. The Forest Service and smokejumpers are. there are others who are not paid. The others are not. They are the first there and often the last to leave. They are just into it because it is their community. I called James Lee Witt. pictured in the center of this photo. He very quickly got some regulations changed so volunteer firefighters could be reimbursed. Recently now they are receiving payment for the services they rendered. But the point is. people came from all over. Employers let volunteers leave workit was lost work. but still the main job had to be done fighting these fires. Students postponed attending classes at the University of Montana. or other classes. families left at home. coworkers who put in overtime to cover those who traveled to the West. The Red Cross and its hundreds of volunteers who were there when folks needed to see a friendly face. The various state agencies that worked diligently and expeditiously to implement emergency plans. The federal agencies that came forward to help put the fires out and begin to rebuild these communities. Specifically. Id like to commend FEMA. the Federal Emergency Management Agency for their efforts. On several occasions. they quickly released federal funds or waived personnel requirements. Cutting red tape so we could get the assistance we needed right away. I especially thank FEMA Director James Lee Witt who spent countless hours working with me and other folks in Montana. When these fires started to blow in Montana. James Lee Witt said he was really booked up with other. plans. but he dramatically changed his schedule so he could come to Montana. That made a huge difference in getting agencies to work together. and it cut so much of this redtape. FEMA is still working on recovery efforts. and we very much appreciate all they have done and continue to do. I also thank with the same enthusiasm the adjutant general of the Montana National Guard. Gene Prendergast. and all his troops. Gene really stepped up. This guy really cares. He mobilized his troops. who care just as much. He was also influential in working with Federal. State. and local agencies to coordinate plans and requests for Federal assistance. We owe Gene Prendergast a huge debt of gratitude. At the high point of the fires. there were well over 12.000 people fighting blazes in western Montana. That includes Forest Service firefighters and National Guard men and women. We had 3 activeduty battalions from the East coming to fight fires in Montana. People came from everywherefrom 48 States and 3 countriesto Montana. Across the West. some 30.000 brave individuals battled wildfires during this season. We did not lose any lives in our State. thanks to the combination of solid training. sensible fire strategy. and good luck. The dangers faced by these individuals. however. were obviously real. Think of the danger we put people into. Last year. we took time to remember the Mann Gulch fire. That was a huge fire in Montana which blew up about 50 years ago. Thirteen National Forest Service smoke jumpers died in that blowup. They were fighting a fire 10 miles away from Helena. 10 miles from the photo I showed earlier. It was not thought to be a fire that was going to threaten lives or property. An observer described the Mann Gulch fire with these words: A terrific draft of superheated air of tremendous velocity had swept up the hill exploding all inflammable material. causing a wall of flame 600 feet high to roll over the ridge and down the other side and continue over ridges and down gulches until the fuels wereso light that the wall could not maintain enough: heat to continue. This wall covered 3.000 acres in 10 minutes. Anything caught in the direct path of the heat blast perished. Just 6 years ago. we lost 14 smoke jumpers in a similar firestorm near Glenwood Springs. CO. This fire. like the Mann Gulch. was considered routine. and these were not even the most deadly fires in the Wests history. It is important to remember those who gave their lives fighting wildfires. It is also important to celebrate those who put their lives on the line day after day to keep our homes and communities safe. A simple thank you does not seem to be enough to show our appreciation for these people and for everything they have done. That is why I have come to the floor to announce I am introducing legislation to honor and commemorate the selfless sacrifices each of these individuals has made to keep our families and our homes safe. The legislation will direct the U.S. Forest Service. the Bureau of Land Management. the Federal Emergency Management Agency. and the U.S. Department of Defense to- work together to create a commemorative pin or badge that will be issued to each firefighter at the end of a fire season. This -will serve as an emblem of the vital service they have provided and a symbol of our gratitude. much as a soldier might receive a band to record a tour of duty. because those who fight wildfires really are soldiers who put their lives on the line every day in defense of the people. communities. the lands of America. These courageous men and women need to be recognized as the heroes they are. As we properly focus on the work these brave firefighters do for us. let us not forget the work we must do for them. for it is only by creating and funding sensible forest management policy and by guiding development to reduce the risk to homes and property posed by wildfires that we can keep more of our firefighters out of harms way and prevent future tragedies like Mann Gulch. As we commemorate our firefighters. let us make sure we rise to the task of putting aside our differences and working together for commonsense policies that will keep our forests healthy and firefighters safe. Again. I say thank you. thank you to all the heroesfirefighters. volunteers. Government employees. ordinary citizenswho pulled together to protect life and home in Montana and across the West. Please know that we are truly grateful for everything you have done.",5892,5892_wildfires_fires_fire_spruce,"['wildfires', 'fires', 'fire', 'spruce', 'wildfire', 'burned', 'forest', 'beetle', 'burning', 'bark']",wildfires - fires - fire - spruce - wildfire - burned - forest - beetle - burning - bark,1,TRUE,1060193357
82809,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.317056139,TRUE,1060174852
83203,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.628008043,TRUE,1060192094
85695,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.597440668,TRUE,1060189989
85904,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.428326282,TRUE,1060171407
89267,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.373415881,TRUE,1060193122
91395,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.525367433,TRUE,1060137243
92710,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.931171885,TRUE,1060161086
93552,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.676208368,TRUE,1060166236
93758,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.818424617,TRUE,1060156004
94212,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.628183301,TRUE,1060129093
94850,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060193134
95304,NA-,4294,4294_ac_na_mur_por,"['ac', 'na', 'mur', 'por', 'minimis', 'di', 'hon', 'ex', 'latin', 'ad']",ac - na - mur - por - minimis - di - hon - ex - latin - ad,1,TRUE,1060193007
98678,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.516648973,TRUE,1060150199
100544,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.630748447,TRUE,1060171041
103324,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060193328
104019,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.644899638,TRUE,1060117092
